,title,production_budget,worldwide_gross,vote_average,value_per_investment,rating_per_investment,genres
0,10 Cloverfield Lane,5000000,108286422,6.9,21.6572844,1.3800000000000001,Drama
1,10 Cloverfield Lane,5000000,108286422,6.9,21.6572844,1.3800000000000001,Horror
2,10 Cloverfield Lane,5000000,108286422,6.9,21.6572844,1.3800000000000001,Mystery
3,10 Days in a Madhouse,12000000,14616,5.4,0.001218,0.45,Drama
4,12 Strong,35000000,71118378,5.6,2.031953657142857,0.16,Action
5,12 Strong,35000000,71118378,5.6,2.031953657142857,0.16,Drama
6,12 Strong,35000000,71118378,5.6,2.031953657142857,0.16,History
7,12 Years a Slave,20000000,181025343,7.9,9.05126715,0.395,Biography
8,12 Years a Slave,20000000,181025343,7.9,9.05126715,0.395,Drama
9,12 Years a Slave,20000000,181025343,7.9,9.05126715,0.395,History
10,127 Hours,18000000,60217171,7.0,3.345398388888889,0.3888888888888889,Adventure
11,127 Hours,18000000,60217171,7.0,3.345398388888889,0.3888888888888889,Biography
12,127 Hours,18000000,60217171,7.0,3.345398388888889,0.3888888888888889,Drama
13,13 Sins,4000000,47552,6.3,0.011888,1.575,Horror
14,13 Sins,4000000,47552,6.3,0.011888,1.575,Thriller
15,2 Guns,61000000,132493015,6.5,2.172016639344262,0.10655737704918032,Action
16,2 Guns,61000000,132493015,6.5,2.172016639344262,0.10655737704918032,Comedy
17,2 Guns,61000000,132493015,6.5,2.172016639344262,0.10655737704918032,Crime
18,21 Jump Street,42000000,202812429,6.8,4.828867357142857,0.1619047619047619,Action
19,21 Jump Street,42000000,202812429,6.8,4.828867357142857,0.1619047619047619,Comedy
20,21 Jump Street,42000000,202812429,6.8,4.828867357142857,0.1619047619047619,Crime
21,22 Jump Street,50000000,331333876,6.9,6.62667752,0.138,Action
22,22 Jump Street,50000000,331333876,6.9,6.62667752,0.138,Comedy
23,22 Jump Street,50000000,331333876,6.9,6.62667752,0.138,Crime
24,23 Blast,1000000,549185,6.5,0.549185,6.5,Drama
25,23 Blast,1000000,549185,6.5,0.549185,6.5,Family
26,23 Blast,1000000,549185,6.5,0.549185,6.5,Sport
27,3,7200000,295492,6.0,0.04104055555555555,0.8333333333333333,Comedy
28,3,7200000,295492,6.0,0.04104055555555555,0.8333333333333333,Drama
29,3,7200000,295492,6.0,0.04104055555555555,0.8333333333333333,Romance
30,3 Backyards,300000,39475,4.3,0.13158333333333333,14.333333333333334,Drama
31,3 Days to Kill,28000000,38959900,6.1,1.391425,0.21785714285714283,Action
32,3 Days to Kill,28000000,38959900,6.1,1.391425,0.21785714285714283,Drama
33,3 Days to Kill,28000000,38959900,6.1,1.391425,0.21785714285714283,Thriller
34,30 Minutes or Less,28000000,40966716,5.6,1.463097,0.19999999999999998,Action
35,30 Minutes or Less,28000000,40966716,5.6,1.463097,0.19999999999999998,Comedy
36,30 Minutes or Less,28000000,40966716,5.6,1.463097,0.19999999999999998,Crime
37,300: Rise of an Empire,110000000,330780051,6.0,3.0070913727272726,0.05454545454545454,Action
38,300: Rise of an Empire,110000000,330780051,6.0,3.0070913727272726,0.05454545454545454,Fantasy
39,300: Rise of an Empire,110000000,330780051,6.0,3.0070913727272726,0.05454545454545454,War
40,31,1500000,922727,5.2,0.6151513333333334,3.466666666666667,Horror
41,31,1500000,922727,5.2,0.6151513333333334,3.466666666666667,Thriller
42,42,31000000,97470701,7.0,3.1442161612903226,0.22580645161290322,Biography
43,42,31000000,97470701,7.0,3.1442161612903226,0.22580645161290322,Drama
44,42,31000000,97470701,7.0,3.1442161612903226,0.22580645161290322,Sport
45,47 Ronin,175000000,151716815,6.0,0.8669532285714285,0.03428571428571429,Action
46,47 Ronin,175000000,151716815,6.0,0.8669532285714285,0.03428571428571429,Adventure
47,47 Ronin,175000000,151716815,6.0,0.8669532285714285,0.03428571428571429,Drama
48,5 Days of War,12000000,87793,5.7,0.007316083333333333,0.47500000000000003,Action
49,5 Days of War,12000000,87793,5.7,0.007316083333333333,0.47500000000000003,Drama
50,5 Days of War,12000000,87793,5.7,0.007316083333333333,0.47500000000000003,War
51,50 to 1,10000000,1069454,6.2,0.1069454,0.62,Drama
52,50/50,8000000,41334735,7.1,5.166841875,0.8875,Comedy
53,50/50,8000000,41334735,7.1,5.166841875,0.8875,Drama
54,50/50,8000000,41334735,7.1,5.166841875,0.8875,Romance
55,8: The Mormon Proposition,2500000,100280,6.2,0.040112,2.48,Documentary
56,90 Minutes in Heaven,5000000,4816142,5.3,0.9632284,1.06,Drama
57,A Bad Moms Christmas,28000000,127710550,6.3,4.561091071428572,0.225,Adventure
58,A Bad Moms Christmas,28000000,127710550,6.3,4.561091071428572,0.225,Comedy
59,A Better Life,10000000,1884251,7.1,0.1884251,0.71,Drama
